,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 3 Displacement,DOF 4 Displacement,DOF 5 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 3 Force,DOF 4 Force,DOF 5 Force,DOF 6 Force
95,-0.33506,0.18503999999999998,0.0525,5.104814119888343e-06,-1.651153391726167e-05,3.8242370859092233e-07,2.729372933837137e-05,1.4786057905904603e-05,0.0001622855761051893,-6.821210263296962e-13,-1.7053025658242404e-13,-5.684341886080802e-14,-6.661338147750939e-16,1.1657341758564144e-15,-1.7763568394002505e-15
96,-0.34995,0.16565000000000002,0.056249999999999994,3.056426365516979e-06,-1.2818561290641188e-05,4.2933144582234754e-07,2.4603900123558227e-05,1.2916264874503563e-05,0.00014569416805740318,3.410605131648481e-13,4.263256414560601e-13,4.263256414560601e-14,-5.551115123125783e-16,2.220446049250313e-16,8.881784197001252e-16
97,-0.36484,0.14626,0.06,1.3777527464713076e-06,-9.415254461437885e-06,4.464854932085722e-07,2.1170420638779033e-05,1.0808651861935858e-05,0.0001249202848217182,-3.979039320256561e-13,-3.126388037344441e-13,-1.4210854715202004e-14,1.1102230246251565e-16,1.1102230246251565e-16,-2.220446049250313e-16
98,-0.37973,0.12686999999999998,0.06375,1.5078328157406252e-07,-6.366679173711942e-06,4.2300761153452574e-07,1.6993290884033696e-05,8.463218868201483e-06,9.996392639813472e-05,-9.237055564881302e-14,-4.973799150320701e-14,-1.4210854715202004e-14,-6.106226635438361e-16,3.3306690738754696e-16,-6.661338147750939e-16
99,-0.39462,0.10748000000000002,0.0675,-5.42492010352039e-07,-3.737901171523537e-06,3.480195615851344e-07,1.2072510859322158e-05,5.8799658933006335e-06,7.082509278665365e-05,-2.1316282072803006e-14,4.618527782440651e-14,-1.0658141036401503e-14,1.5265566588595902e-16,1.1102230246251565e-16,-3.3306690738754696e-16
100,-0.40951,0.08809,0.07125,-6.200831104842927e-07,-1.5939861989328357e-06,2.106431041453197e-07,6.408080564644257e-06,3.058892937233442e-06,3.750378398727532e-05,-5.684341886080802e-14,-6.750155989720952e-14,-7.105427357601002e-15,-2.220446049250313e-16,5.551115123125783e-17,2.220446049250313e-16
101,-0.14149,0.43711,-0.00375,2.815960956421048e-05,-6.12133370462535e-05,2.4383858125215445e-06,-1.7435828288148598e-05,1.1278610408855605e-05,-2.4312345599735596e-06,-3.637978807091713e-12,0.0,1.1368683772161603e-13,6.661338147750939e-16,-7.771561172376096e-16,-1.5765166949677223e-14
102,-0.15638,0.41772000000000004,-0.0075,2.8837705364656588e-05,-5.9623753573480006e-05,2.1721057003828503e-06,-2.121756022951192e-05,6.977142578897271e-06,3.552859566804966e-05,9.094947017729282e-13,2.2737367544323206e-12,-4.547473508864641e-13,-1.7763568394002505e-15,1.4432899320127035e-15,-6.106226635438361e-16
103,-0.17126999999999998,0.39833,-0.01125,2.8805155354403054e-05,-5.748704114097794e-05,1.8985417461589205e-06,-2.447713582482459e-05,3.0876588329208695e-06,6.928488472778005e-05,0.0,1.8189894035458565e-12,2.2737367544323206e-13,-1.7763568394002505e-15,-1.6653345369377348e-15,-1.8096635301390052e-14
104,-0.18616,0.37894,-0.015,2.814501113701789e-05,-5.4867748563040765e-05,1.621684118389161e-06,-2.7214555074088012e-05,-3.898408290726744e-07,9.883763261923096e-05,-1.8189894035458565e-12,-9.094947017729282e-13,3.410605131648481e-13,-6.661338147750939e-15,7.494005416219807e-16,-7.771561172376096e-15
105,-0.20105,0.35955000000000004,-0.01875,2.69403243160689e-05,-5.18304246539618e-05,1.3455229856129714e-06,-2.9429817977302827e-05,-3.455356407085458e-06,0.00012418683934240868,-1.5134560271690134e-12,-4.092726157978177e-12,3.410605131648481e-13,-1.5543122344752192e-15,-3.0531133177191805e-15,1.7763568394002505e-15
106,-0.21594,0.34016,-0.0225,2.527414649512378e-05,-4.843961822803425e-05,1.074048516369763e-06,-3.112292453446945e-05,-6.108887901118484e-06,0.0001453325048973185,-1.3642420526593924e-12,1.5916157281026244e-12,-1.1368683772161603e-13,-4.551914400963142e-15,8.881784197001252e-16,-1.3322676295501878e-15
107,-0.23082999999999998,0.32077,-0.02625,2.3229529277750094e-05,-4.475987809955128e-05,8.112508791989659e-07,-3.229387474558789e-05,-8.35043531117327e-06,0.00016227462928396767,-1.3642420526593924e-12,4.547473508864641e-13,0.0,6.661338147750939e-16,-5.551115123125783e-16,-8.881784197001252e-16
